timestamp,time,low,high,open,close,volume
1524614880,2018-04-25T01:08:00+01:00,572.53,574.61,574.61,573.09,49.8303996
1524614940,2018-04-25T01:09:00+01:00,572.8,573.09,573.09,572.8,7.407708479999999
1524615000,2018-04-25T01:10:00+01:00,573.07,573.07,573.07,573.07,0.0414678
1524615120,2018-04-25T01:12:00+01:00,573.08,573.3,573.08,573.3,35.33775083
1524615180,2018-04-25T01:13:00+01:00,573.99,573.99,573.99,573.99,2.20623741
1524615240,2018-04-25T01:14:00+01:00,574,574.99,574,574.99,14.543480560000003
1524615360,2018-04-25T01:16:00+01:00,574.97,574.98,574.98,574.97,1.11414603
1524615480,2018-04-25T01:18:00+01:00,574.97,574.97,574.97,574.97,0.42481935000000004
1524615540,2018-04-25T01:19:00+01:00,574,574.12,574.12,574,0.6318024099999999
1524615600,2018-04-25T01:20:00+01:00,573.01,574,574,573.01,48.42327335999999
1524615660,2018-04-25T01:21:00+01:00,573.96,573.98,573.98,573.96,0.27714656000000004
1524615720,2018-04-25T01:22:00+01:00,572.88,573.93,573.93,572.88,10.13240443
1524615780,2018-04-25T01:23:00+01:00,572.5,572.83,572.83,572.5,47.00878707
1524615840,2018-04-25T01:24:00+01:00,571.76,572.3,572.3,571.76,29.36212044
1524615900,2018-04-25T01:25:00+01:00,571.42,571.71,571.71,571.42,30.27758661
1524615960,2018-04-25T01:26:00+01:00,571.01,571.32,571.32,571.01,13.3505
1524616020,2018-04-25T01:27:00+01:00,571,571,571,571,0.62613845
1524616080,2018-04-25T01:28:00+01:00,564.47,571,571,568.2,457.20128392999993
1524616140,2018-04-25T01:29:00+01:00,566.74,567.65,567.65,566.75,40.06424487
1524616200,2018-04-25T01:30:00+01:00,566.75,567.65,567.65,566.75,0.11192681
1524616260,2018-04-25T01:31:00+01:00,565.01,566.75,566.75,565.02,18.782421640000003
1524616320,2018-04-25T01:32:00+01:00,557,565.01,565.01,561.13,834.95197916
1524616380,2018-04-25T01:33:00+01:00,558.51,560.46,559.77,558.52,29.03379484
1524616440,2018-04-25T01:34:00+01:00,557.34,559.76,559.76,557.49,25.350102749999998
1524616500,2018-04-25T01:35:00+01:00,551.55,557.47,557.47,551.55,335.23068798000025
1524616560,2018-04-25T01:36:00+01:00,554.52,555.76,555.25,554.52,19.33015735
1524616620,2018-04-25T01:37:00+01:00,554.52,555.98,554.56,555.98,65.07077794
1524616680,2018-04-25T01:38:00+01:00,555.49,558.1,555.49,558.1,42.47148529
1524616740,2018-04-25T01:39:00+01:00,558.84,559.99,558.85,559.99,11.59250244
1524616800,2018-04-25T01:40:00+01:00,559.99,559.99,559.99,559.99,0.34459737
1524616860,2018-04-25T01:41:00+01:00,559.99,561.69,559.99,561.68,25.464735129999998
1524616920,2018-04-25T01:42:00+01:00,561.68,561.99,561.68,561.99,9.838103539999999
1524616980,2018-04-25T01:43:00+01:00,561.99,563.08,562,563,31.07477506
1524617040,2018-04-25T01:44:00+01:00,562.57,563.05,563.05,562.57,5.163588849999999
1524617100,2018-04-25T01:45:00+01:00,563.04,563.04,563.04,563.04,1.34459737
1524617160,2018-04-25T01:46:00+01:00,561,563.04,563.04,561,25.8880864
1524617220,2018-04-25T01:47:00+01:00,560.7,561.6,561,561.6,5.99652211
1524617280,2018-04-25T01:48:00+01:00,563.14,563.14,563.14,563.14,0.0632
1524617340,2018-04-25T01:49:00+01:00,563.2,563.89,563.2,563.69,5.20067677
1524617400,2018-04-25T01:50:00+01:00,563.53,563.88,563.88,563.88,18.58002425
1524617460,2018-04-25T01:51:00+01:00,563.09,563.38,563.09,563.38,0.22498578000000002
1524617520,2018-04-25T01:52:00+01:00,563,563.06,563.06,563,0.5
1524617580,2018-04-25T01:53:00+01:00,563.19,564.08,563.19,564.08,11.17985275
1524617640,2018-04-25T01:54:00+01:00,562.25,563.1,563.1,562.25,1.9946102300000002
1524617760,2018-04-25T01:56:00+01:00,563.8,563.8,563.8,563.8,1.8918506099999999
1524617940,2018-04-25T01:59:00+01:00,562.26,562.77,562.77,562.26,12.464994390000001
1524618000,2018-04-25T02:00:00+01:00,561.3,562.2,562.2,561.3,17.74940023
1524618060,2018-04-25T02:01:00+01:00,558.65,560.11,560.11,559.31,10.03
1524618120,2018-04-25T02:02:00+01:00,559.32,560.14,559.32,560.14,3.4699999999999998
1524618240,2018-04-25T02:04:00+01:00,560.01,561.31,561.3,560.01,9.513863729999997
1524618300,2018-04-25T02:05:00+01:00,557,560,560,557,20.22623955
1524618360,2018-04-25T02:06:00+01:00,556.34,558.1,557,558.1,8.3933917
1524618420,2018-04-25T02:07:00+01:00,557.87,557.87,557.87,557.87,0.5
1524618540,2018-04-25T02:09:00+01:00,558,558,558,558,0.95
1524618600,2018-04-25T02:10:00+01:00,559.05,559.05,559.05,559.05,1.17826
1524618660,2018-04-25T02:11:00+01:00,559.05,559.05,559.05,559.05,3.3844969799999998
1524618780,2018-04-25T02:13:00+01:00,558.67,558.97,558.97,558.67,0.9703683300000001
1524618840,2018-04-25T02:14:00+01:00,558.67,560.05,558.67,560.01,1.87438705
1524618900,2018-04-25T02:15:00+01:00,560.06,560.23,560.06,560.23,1.89478308
1524618960,2018-04-25T02:16:00+01:00,560.23,561.07,560.23,561.07,3.6071760399999997
1524619020,2018-04-25T02:17:00+01:00,562,563.57,562,563.57,12.460493430000001
1524619080,2018-04-25T02:18:00+01:00,563.4,563.4,563.4,563.4,0.01
1524619140,2018-04-25T02:19:00+01:00,562.48,563.56,563.56,562.48,10.94519102
1524619380,2018-04-25T02:23:00+01:00,562.55,562.6,562.6,562.55,1.0218181899999998
1524619500,2018-04-25T02:25:00+01:00,562.39,562.54,562.39,562.51,0.7533198
1524619560,2018-04-25T02:26:00+01:00,560.98,563.22,562.55,563.22,10.23892326
1524619620,2018-04-25T02:27:00+01:00,563.57,564.42,563.57,564.42,2.21747498
1524619800,2018-04-25T02:30:00+01:00,564.42,564.42,564.42,564.42,3
1524619860,2018-04-25T02:31:00+01:00,564.77,566.61,564.77,566.61,35.01058711
1524619920,2018-04-25T02:32:00+01:00,566.39,566.64,566.39,566.64,8.12390136
1524619980,2018-04-25T02:33:00+01:00,566.8,566.8,566.8,566.8,5.61892222
1524620040,2018-04-25T02:34:00+01:00,566.8,567.15,566.8,567.15,15.181954690000001
1524620100,2018-04-25T02:35:00+01:00,567.58,567.6,567.58,567.6,29.501
1524620280,2018-04-25T02:38:00+01:00,567.99,567.99,567.99,567.99,0.25
1524620400,2018-04-25T02:40:00+01:00,568,569.11,568,569.11,36.01375009
1524620580,2018-04-25T02:43:00+01:00,569.98,570,569.98,570,30.39952166
1524620880,2018-04-25T02:48:00+01:00,570.07,570.11,570.11,570.07,0.59112962
1524620940,2018-04-25T02:49:00+01:00,570.01,570.01,570.01,570.01,0.43728463
1524621000,2018-04-25T02:50:00+01:00,570.12,570.17,570.12,570.17,2.3431492400000002
1524621060,2018-04-25T02:51:00+01:00,570.17,571,570.17,570.99,6.7670150200000005
1524621120,2018-04-25T02:52:00+01:00,569.23,570.99,570.99,569.23,7.6026077999999995
1524621420,2018-04-25T02:57:00+01:00,569.57,569.57,569.57,569.57,0.2451817
1524621480,2018-04-25T02:58:00+01:00,567.82,569.23,569.23,567.82,3.5636223300000003
1524621540,2018-04-25T02:59:00+01:00,568.67,568.67,568.67,568.67,0.23
1524621600,2018-04-25T03:00:00+01:00,567.8,568.64,568.64,567.8,7.75
1524621660,2018-04-25T03:01:00+01:00,569.28,569.34,569.28,569.34,1.5979706299999998
1524621840,2018-04-25T03:04:00+01:00,568.02,569.9,568.81,569.9,14.767869359999999
1524621900,2018-04-25T03:05:00+01:00,569.97,569.98,569.97,569.98,4.82744829
1524621960,2018-04-25T03:06:00+01:00,569.98,569.98,569.98,569.98,2.07052786
1524622080,2018-04-25T03:08:00+01:00,570,570.93,570,570.93,0.35106873000000005
1524622200,2018-04-25T03:10:00+01:00,570.85,572.22,570.85,572.22,9.307965990000001
1524622320,2018-04-25T03:12:00+01:00,569.25,571.05,571.05,569.25,0.36163078000000004
1524622380,2018-04-25T03:13:00+01:00,569.16,569.21,569.21,569.16,0.16161256
1524622560,2018-04-25T03:16:00+01:00,570.5,571.43,570.5,571.43,4.92774699
1524622620,2018-04-25T03:17:00+01:00,570.71,571.64,571.64,570.71,0.81932874
1524622740,2018-04-25T03:19:00+01:00,570.71,570.71,570.71,570.71,0.01546466
1524622980,2018-04-25T03:23:00+01:00,571.11,572.43,571.11,572.43,19.395582559999998
1524623040,2018-04-25T03:24:00+01:00,570.5,572.45,572.45,570.5,15.34059663
1524623100,2018-04-25T03:25:00+01:00,570.67,570.7,570.67,570.7,2.3610548099999997
1524623160,2018-04-25T03:26:00+01:00,570.5,570.5,570.5,570.5,1.52692625
1524623280,2018-04-25T03:28:00+01:00,570.47,572.2,570.47,572.2,21.41730269
1524623340,2018-04-25T03:29:00+01:00,571.6,572,571.6,572,1.11503949
1524623700,2018-04-25T03:35:00+01:00,572.6,573.6,573.14,572.6,6.46696729
1524623940,2018-04-25T03:39:00+01:00,573.33,574.54,573.74,573.73,26.966359580000002
1524624000,2018-04-25T03:40:00+01:00,573.99,574.52,573.99,574.52,0.5944853299999999
1524624120,2018-04-25T03:42:00+01:00,574.25,574.52,574.25,574.52,6.94205038
1524624300,2018-04-25T03:45:00+01:00,573.5,573.51,573.51,573.5,1.5388207299999999
1524624480,2018-04-25T03:48:00+01:00,572.49,572.6,572.49,572.6,26.119844049999998
1524624660,2018-04-25T03:51:00+01:00,572.46,572.46,572.46,572.46,0.02017945
1524624960,2018-04-25T03:56:00+01:00,570.97,572.5,572.09,570.97,10.185230920000002
1524625020,2018-04-25T03:57:00+01:00,570.97,570.97,570.97,570.97,3.61444495
1524625080,2018-04-25T03:58:00+01:00,569.99,570.4,570.4,569.99,4.82854537
1524625140,2018-04-25T03:59:00+01:00,568.94,569,569,568.94,1.6075126400000002
1524625260,2018-04-25T04:01:00+01:00,567.72,570.5,568.03,570.5,20.52547873
1524625440,2018-04-25T04:04:00+01:00,567.11,568.3,568.3,567.11,5.457861099999999
1524625500,2018-04-25T04:05:00+01:00,567,567.11,567.11,567,0.44127952000000004
1524625560,2018-04-25T04:06:00+01:00,566.91,566.92,566.92,566.91,0.026000000000000002
1524625680,2018-04-25T04:08:00+01:00,566.98,567.03,566.98,567.03,3.9357380099999997
1524625800,2018-04-25T04:10:00+01:00,566.37,566.37,566.37,566.37,1.65374836
1524625920,2018-04-25T04:12:00+01:00,564.18,566.02,566.02,564.18,27.40555732
1524626100,2018-04-25T04:15:00+01:00,564.01,564.18,564.18,564.01,1.29818876
1524626160,2018-04-25T04:16:00+01:00,563.9,564.03,564.03,563.9,0.823043
1524626220,2018-04-25T04:17:00+01:00,562.31,563.9,563.9,562.31,6.34120622
1524626280,2018-04-25T04:18:00+01:00,561.96,562.32,562.32,561.96,6.36516401
1524626340,2018-04-25T04:19:00+01:00,561.22,561.77,561.77,561.22,3.62340649
